Price_num,CC_num,Fuel,Type,Brand
9390,2362,Unleaded Petrol,Wagon,Toyota
27990,2488,Unleaded Petrol,Wagon,Nissan
21882,1998,Unleaded Petrol,Wagon,Mitsubishi
31300,5967,Premium Unleaded Petrol,Sedan,Holden
15750,2488,Diesel,Dual Cab Pick-up,Nissan
22000,1999,Unleaded Petrol,Hatchback,Hyundai
31888,2488,Unleaded Petrol,Wagon,Mazda
19990,1797,Unleaded Petrol,Hatchback,Hyundai
30990,2776,Diesel,Cab Chassis,Holden
46990,2494,Premium Unleaded/Electric,Sedan,Toyota
48990,2999,Diesel,Crew Cab Utility,Isuzu
32990,2776,Diesel,Wagon,Holden
49499,3198,Diesel,Dual Cab Utility,Ford
27990,2488,Unleaded Petrol,Sedan,Mazda
41999,3456,Unleaded Petrol,Wagon,Toyota
18999,5967,Premium Unleaded Petrol,Sedan,Holden
9950,2488,Diesel,Dual Cab Pick-up,Nissan
49990,2999,Diesel,Dual Cab Pick-up,Mazda
40690,1490,Unleaded Petrol,Wagon,MG
68980,2967,Diesel,Dual Cab Utility,Volkswagen
27999,3200,Diesel,Wagon,Mitsubishi
34622,2198,Diesel,Cab Chassis,Ford
74820,1991,Premium Unleaded Petrol,Wagon,Mercedes-Benz
8250,1596,Unleaded Petrol,Hatchback,Ford
28990,2191,Diesel,Wagon,Mazda
4999,3984,Unleaded Petrol,Wagon,Ford
21990,1999,Unleaded Petrol,Hatchback,Hyundai
6475,2967,Unleaded Petrol,Wagon,Mazda
67990,2753,Diesel,Double Cab Pick Up,Toyota
34750,2776,Diesel,Wagon,Holden
52990,2143,Diesel,Van,Mercedes-Benz
76990,2995,Premium Unleaded Petrol,Sedan,Audi
31880,2494,Unleaded Petrol,Sedan,Toyota
88999,2982,Diesel,Bus,Toyota
23990,1998,Diesel,Wagon,Subaru
9830,1248,Unleaded Petrol,Hatchback,Holden
54287,1984,Unleaded Petrol,Wagon,Skoda
19990,1956,Diesel,Sportswagon,Holden
30000,1984,Premium Unleaded Petrol,Wagon,Audi
11000,2488,Diesel,Dual Cab Pick-up,Nissan
31990,2440,Diesel,Dual Cab Utility,Mitsubishi
42490,1332,Premium Unleaded Petrol,Wagon,Renault
57300,5665,Premium Unleaded Petrol,Coupe,Holden
34290,1998,Premium Unleaded Petrol,Sportswagon,Holden
14990,1999,Unleaded Petrol,Coupe,Kia
58998,4950,Premium Unleaded Petrol,Coupe,Ford
15990,1372,Unleaded Petrol,Hatchback,Suzuki
23990,1968,Diesel,Wagon,Audi
18990,2720,Diesel,Wagon,Ford
19999,2494,Unleaded Petrol,Sedan,Toyota
49834,2753,Diesel,Wagon,Toyota
23990,3565,Unleaded Petrol,Utility,Holden
22990,2488,Unleaded Petrol,Double Cab Utility,Nissan
64880,1998,Premium Unleaded Petrol,Wagon,BMW
35490,2753,Diesel,Dual Cab Utility,Toyota
14987,2488,Unleaded Petrol,Wagon,Nissan
98990,3982,Premium Unleaded Petrol,Wagon,Mercedes-Benz
18913,2477,Diesel,Double Cab Utility,Mitsubishi
17990,1997,Unleaded Petrol,Wagon,Honda
40068,3604,Unleaded Petrol,Hardtop,Jeep
11995,1998,Unleaded Petrol,Wagon,Ssangyong
22990,2720,Diesel,Wagon,Ford
39987,2494,Unleaded Petrol,Wagon,Toyota
79950,2993,Diesel,Wagon,Land Rover
12950,1591,Unleaded Petrol,Hatchback,Kia
36990,3198,Diesel,Crew Cab Utility,Ford
55000,1995,Diesel,Wagon,BMW
47990,2999,Diesel,Crew Cab Utility,Isuzu
20990,1242,Unleaded Petrol,Hatchback,Suzuki
49990,2993,Diesel,Wagon,BMW
13000,1994,Premium Unleaded Petrol,Sedan,Subaru
8000,2378,Unleaded Petrol,Cab Chassis,Great Wall
18990,2440,Diesel,Cab Chassis,Mitsubishi
45550,1598,Diesel,Van,Renault
42888,2498,Unleaded Petrol,Wagon,Subaru
25990,1999,Unleaded Petrol,Sedan,Kia
13500,2179,Diesel,Wagon,Land Rover
46990,2999,Diesel,Crew Cab Chassis,Isuzu
34990,2776,Diesel,Double Cab Utility,LDV
76990,1991,Premium Unleaded Petrol,Wagon,Mercedes-Benz
136887,3346,Diesel,Wagon,Toyota
26990,1998,Unleaded Petrol,Wagon,Mitsubishi
19990,2477,Diesel,Double Cab Utility,Mitsubishi
18995,2268,Diesel,Wagon,Mitsubishi
17990,2488,Diesel,Dual Cab Pick-up,Nissan
9990,1364,Unleaded Petrol,Sedan,Holden
47990,2999,Diesel,Wagon,Isuzu
46990,2498,Unleaded Petrol,Wagon,Subaru
27388,3196,Diesel,Freestyle Cab Chassis,Mazda
128800,2993,Diesel,Wagon,Land Rover
38999,2497,Diesel,Van,Hyundai
35399,1332,Premium Unleaded Petrol,Wagon,Renault
8499,2362,Unleaded Petrol,Sedan,Toyota
58990,1996,Diesel,Double Cab Pick Up,Ford
55990,2298,Diesel,Dual Cab Pick-up,Nissan
63988,2488,Unleaded Petrol,Wagon,Mazda
53990,2199,Diesel,Wagon,Hyundai
42363,3604,Premium Unleaded Petrol,Wagon,Jeep
25290,1591,Unleaded Petrol,Coupe,Hyundai
26724,1799,Unleaded Petrol,Sedan,Honda
41748,2776,Diesel,Crew Cab Pickup,Holden
33990,2488,Unleaded Petrol,Wagon,Mazda
41990,3342,Unleaded Petrol,Wagon,Kia
24990,2351,Unleaded Petrol,Cab Chassis,Mitsubishi
124888,2480,Premium Unleaded Petrol,Sportback,Audi
10990,1998,Unleaded Petrol,Wagon,Mitsubishi
27990,2488,Diesel,Dual Cab Pick-up,Nissan
13990,4009,Premium Unleaded Petrol,Wagon,Land Rover
29990,1995,Unleaded Petrol,Hatchback,Subaru
12999,2384,Unleaded Petrol,Wagon,Holden
26990,3200,Diesel,Wagon,Mitsubishi
23990,1685,Diesel,Sedan,Hyundai
25980,1999,Unleaded Petrol,Hatchback,Hyundai
3000,3984,Unleaded Petrol,Utility,Ford
28888,1197,Premium Unleaded Petrol,Wagon,Toyota
19990,1497,Unleaded Petrol/Electric,Hatchback,Toyota
54990,2999,Diesel,Dual Cab Pick-up,Mazda
32990,2499,Diesel,Van,LDV
26888,1999,Unleaded Petrol,Wagon,Kia
17500,3984,Liquid Petroleum Gas,Utility,Ford
23890,1395,Premium Unleaded Petrol,Sedan,Skoda
23990,1998,Unleaded Petrol,Wagon,Mitsubishi
18999,1618,Premium Unleaded Petrol,Hatchback,Renault
35990,2753,Diesel,Dual Cab Chassis,Toyota
57990,2488,Unleaded Petrol,Wagon,Mazda
63990,2442,Diesel,Wagon,Mitsubishi
67990,3470,Unleaded Petrol,Wagon,Kia
36100,2440,Diesel,Dual Cab Utility,Mitsubishi
26950,1395,Premium Unleaded Petrol,Wagon,Volkswagen
10990,2457,Unleaded Petrol,Wagon,Subaru
64880,2151,Diesel,Wagon,Kia
29800,2982,Diesel,Dual Cab Pick-up,Toyota
26990,1987,Unleaded Petrol,Wagon,Toyota
29990,1997,Unleaded Petrol,Wagon,Mazda
17990,1399,Unleaded Petrol,Sedan,Holden
14990,2953,Diesel,Super Cab Utility,Ford
49990,3649,Unleaded Petrol,Wagon,Holden
22990,2953,Diesel,Wagon,Nissan
24100,1995,Unleaded Petrol,Hatchback,Subaru
57888,2199,Diesel,Wagon,Kia
56950,2191,Diesel,Wagon,Mazda
41450,1995,Diesel,Wagon,Kia
7000,3701,Unleaded Petrol,Wagon,Jeep
35990,3198,Diesel,Dual Cab Utility,Ford
31990,1995,Diesel,Wagon,Kia
19980,1798,Unleaded Petrol,Hatchback,Toyota
33490,2360,Unleaded Petrol,Wagon,Mitsubishi
16999,1984,Premium Unleaded Petrol,Wagon,Volkswagen
69800,2987,Diesel,Sedan,Mercedes-Benz
32990,3604,Premium Unleaded Petrol,Wagon,Jeep
19990,2362,Unleaded Petrol,Wagon,Toyota
93888,1991,Premium Unleaded Petrol,Wagon,Mercedes-Benz
48990,3198,Diesel,Dual Cab Utility,Ford
5913,1796,Unleaded Petrol,Sedan,Holden
4000,1996,Diesel,Wagon,Great Wall
48888,2199,Diesel,Wagon,Kia
8999,1797,Unleaded Petrol,Hatchback,Nissan
30990,1799,Unleaded Petrol,Hatchback,Honda
43490,1998,Premium Unleaded Petrol,Wagon,GWM
36760,1998,Unleaded Petrol,Wagon,Mazda
22632,2298,Diesel,Dual Cab Utility,Nissan
14990,1798,Unleaded Petrol,Sedan,Nissan
16990,1998,Unleaded Petrol,Sedan,Mitsubishi
26888,1984,Premium Unleaded Petrol,Sedan,Skoda
18500,5967,Unleaded Petrol,Utility,Holden
54990,2440,Diesel,Double Cab Pick Up,Mitsubishi
69990,4950,Premium Unleaded Petrol,Sedan,Ford
40990,3498,Premium Unleaded Petrol,Wagon,Nissan
18990,2982,Diesel,Cab Chassis,Toyota
34990,1999,Unleaded Petrol,Wagon,Kia
53990,2143,Diesel,Van,Mercedes-Benz
19980,1798,Unleaded Petrol,Hatchback,Toyota
12990,3956,Unleaded Petrol,X Cab Pickup,Toyota
68950,5654,Unleaded Petrol,Crew Cab Utility,Ram
26990,2987,Diesel,Wagon,Mercedes-Benz
112888,5461,Premium Unleaded Petrol,Coupe,Mercedes-Benz
18990,5408,Unleaded Petrol,Sedan,Ford
23990,1999,Unleaded Petrol,Hatchback,Hyundai
17999,1999,Unleaded Petrol,Wagon,Kia
24999,1998,Diesel,Wagon,Subaru
20988,1299,Unleaded Petrol,Hatchback,Toyota
17995,3311,Unleaded Petrol/Electric,Wagon,Lexus
22990,2360,Unleaded Petrol,Wagon,Mitsubishi
32490,2494,Unleaded Petrol,Sedan,Toyota
37990,2440,Diesel,Dual Cab Utility,Mitsubishi
15950,2497,Diesel,Van,Hyundai
38990,3198,Diesel,Dual Cab Utility,Ford
51680,1984,Premium Unleaded Petrol,Wagon,Volkswagen
45000,1395,Premium Unleaded Petrol,Wagon,Audi
14888,1798,Premium Unleaded Petrol,Hatchback,Honda
32500,2776,Diesel,Double Cab Utility,LDV
39888,2999,Diesel,Wagon,Isuzu
27999,2199,Diesel,Wagon,Hyundai
78942,2987,Diesel,Wagon,Mercedes-Benz
47990,2487,Unleaded Petrol,Wagon,Toyota
34990,2143,Diesel,Cabriolet,Mercedes-Benz
8949,1299,Unleaded Petrol,Hatchback,Toyota
31800,2298,Diesel,Dual Cab Utility,Nissan
43990,2967,Diesel,Dual Cab Utility,Volkswagen
22000,4987,Unleaded Petrol,Sedan,Holden
38990,3198,Diesel,Dual Cab Utility,Ford
54042,2151,Diesel,Wagon,Hyundai
17999,2488,Diesel,Dual Cab Pick-up,Nissan
56990,2487,Unleaded Petrol/Electric,Wagon,Toyota
91990,4461,Diesel,Wagon,Toyota
12890,1796,Premium Unleaded Petrol,Sedan,Mercedes-Benz
78990,4461,Diesel,Wagon,Toyota
78950,4461,Diesel,Cab Chassis,Toyota
16990,1299,Unleaded Petrol,Hatchback,Toyota
44990,1798,Premium Unleaded Petrol,Wagon,Volkswagen
14990,3456,Unleaded Petrol,Wagon,Toyota
65990,2753,Diesel,Double Cab Pick Up,Toyota
7999,3565,Unleaded Petrol,Sportswagon,Holden
58690,1996,Diesel,Double Cab Pick Up,Ford
8350,1668,Unleaded Petrol,Hatchback,Honda
25990,1368,Unleaded Petrol,Wagon,Kia
10999,1461,Diesel,Hatchback,Renault
12600,3200,Diesel,Double Cab Utility,Mitsubishi
39888,2488,Unleaded Petrol,Wagon,Mazda
27998,1197,Premium Unleaded Petrol,Wagon,Toyota
34000,2999,Diesel,Wagon,Isuzu
71990,5552,Premium Unleaded Petrol,Wagon,Nissan
59990,2776,Diesel,Crew Cab Pickup,Holden
52990,1969,Premium Unleaded Petrol,Wagon,Volvo
5500,1984,Premium Unleaded Petrol,Sedan,Audi
42000,1999,Diesel,Wagon,Land Rover
105888,4461,Diesel,Wagon,Toyota
21990,1498,Unleaded Petrol,Wagon,MG
104988,1991,Premium Unleaded Petrol,Wagon,Mercedes-Benz
15000,5665,Unleaded Petrol,Wagon,Holden
7400,1299,Unleaded Petrol,Hatchback,Toyota
14990,1796,Unleaded Petrol,Sedan,Hyundai
29850,2982,Diesel,Dual Cab Pick-up,Toyota
61990,2151,Diesel,Wagon,Hyundai
144990,2497,Premium Unleaded Petrol,Coupe,Porsche
21995,3726,Unleaded Petrol,Wagon,Mazda
44990,2356,Unleaded Petrol,Wagon,Honda
20000,4664,Unleaded Petrol,Wagon,Toyota
25990,3456,Unleaded Petrol,Sedan,Toyota
33990,2999,Diesel,Crew Cab Utility,Isuzu
62990,2442,Diesel,Wagon,Mitsubishi
68990,1969,Premium Unleaded Petrol,Wagon,Volvo
7900,1299,Unleaded Petrol,Hatchback,Toyota
27000,2776,Diesel,Double Cab Utility,LDV
28990,2982,Diesel,Van,Toyota
28990,1999,Unleaded Petrol,Hatchback,Hyundai
34990,1798,Unleaded Petrol/Electric,Hatchback,Toyota
16888,1591,Unleaded Petrol,Hatchback,Hyundai
49990,1999,Unleaded Petrol,Wagon,Hyundai
39080,2268,Diesel,Wagon,Mitsubishi
51950,3200,Diesel,Wagon,Mitsubishi
15980,2999,Diesel,Crew Cab Pickup,Holden
89880,2967,Diesel,Dual Cab Utility,Volkswagen
51998,2440,Diesel,Double Cab Pick Up,Mitsubishi
20000,2720,Diesel,Wagon,Ford
17888,1999,Unleaded Petrol,Sedan,Ford
12990,2351,Unleaded Petrol,Van,Mitsubishi
39490,1799,Unleaded Petrol,Wagon,Honda
69990,3342,Unleaded Petrol,Sedan,Kia
38990,1991,Premium Unleaded Petrol,Wagon,Mercedes-Benz
35990,2497,Diesel,Van,Hyundai
23990,2488,Unleaded Petrol,Sedan,Mazda
38990,2440,Diesel,Dual Cab Utility,Mitsubishi
35670,1798,Unleaded Petrol/Electric,Hatchback,Toyota
49990,2755,Diesel,Wagon,Toyota
18000,3199,Premium Unleaded Petrol,Cabriolet,Mercedes-Benz
34990,2440,Diesel,Dual Cab Chassis,Mitsubishi
32999,1998,Premium Unleaded Petrol,Wagon,BMW
23999,2477,Diesel,Double Cab Chassis,Mitsubishi
22000,1395,Premium Unleaded Petrol,Hatchback,Volkswagen
46990,1798,Unleaded Petrol/Electric,Hatchback,Toyota
39990,2494,Premium Unleaded/Electric,Sedan,Toyota
21888,1395,Premium Unleaded Petrol,Sedan,Audi
61490,2298,Diesel,Dual Cab Pick-up,Nissan
38170,1333,Unleaded Petrol,Coupe,Renault
12995,1798,Unleaded Petrol,Hatchback,Toyota
36990,2953,Diesel,Wagon,Nissan
40990,2999,Diesel,Crew Cab Utility,Isuzu
84950,1969,Premium Unleaded/Electric,Wagon,Volvo
39950,2753,Diesel,Wagon,Toyota
7500,1991,Diesel,Sedan,Holden
36379,1996,Diesel,Van,LDV
15958,1797,Unleaded Petrol,Hatchback,Hyundai
42888,2179,Diesel,Wagon,Land Rover
94888,3604,Unleaded Petrol,Dual Cab Utility,Jeep
83990,2993,Diesel,Wagon,Land Rover
98990,5654,Unleaded Petrol,Crew Cab Utility,Ram
26950,2999,Diesel,Crew Cab Utility,Isuzu
12990,1498,Unleaded Petrol,Hatchback,Mazda
73890,1996,Diesel,Double Cab Pick Up,Ford
31990,1197,Premium Unleaded Petrol,Hatchback,Toyota
13888,2457,Premium Unleaded Petrol,Wagon,Subaru
39990,2498,Unleaded Petrol,Wagon,Subaru
99800,3604,Premium Unleaded Petrol,Wagon,Porsche
67888,2967,Diesel,Dual Cab Utility,Volkswagen
31990,1799,Unleaded Petrol,Wagon,Honda
11999,1299,Unleaded Petrol,Hatchback,Toyota
149888,2993,Diesel,Wagon,BMW
14555,3456,Unleaded Petrol,Sedan,Toyota
48905,2967,Diesel,Dual Cab Utility,Volkswagen
20850,2986,Diesel,Bus,Toyota
30888,1998,Unleaded Petrol,Wagon,Mitsubishi
43990,2497,Diesel,Van,Hyundai
39990,3490,Unleaded Petrol,Wagon,Kia
26999,2694,Unleaded Petrol,Van,Toyota
41999,1995,Diesel,Wagon,Hyundai
1895,1796,Unleaded Petrol,Hatchback,Holden
39998,2298,Diesel,Dual Cab Utility,Nissan
75990,1996,Diesel,Double Cab Pick Up,Ford
26990,1373,Unleaded Petrol,Hatchback,Suzuki
22990,1496,Unleaded Petrol,Hatchback,Mazda
21990,1998,Unleaded Petrol,Wagon,Kia
69999,4950,Unleaded Petrol,Sedan,Ford
38880,2298,Diesel,Dual Cab Utility,Nissan
18999,2488,Unleaded Petrol,Wagon,Mazda
75950,1969,Premium Unleaded/Electric,Wagon,Volvo
72880,1984,Premium Unleaded/Electric,Wagon,Audi
8998,1991,Diesel,Wagon,Holden
8500,2362,Unleaded Petrol,Sedan,Toyota
60990,2753,Diesel,Double Cab Pick Up,Toyota
12999,2498,Unleaded Petrol,Wagon,Subaru
21913,2982,Diesel,Wagon,Toyota
26500,2360,Unleaded Petrol,Wagon,Mitsubishi
35850,2967,Diesel,Wagon,Audi
33935,1996,Diesel,Double Cab Utility,LDV
14995,3565,Unleaded Petrol,Utility,Holden
58888,2457,Premium Unleaded Petrol,Sedan,Subaru
26971,2498,Unleaded Petrol,Wagon,Subaru
14300,1496,Unleaded Petrol,Hatchback,Mazda
28990,1998,Unleaded Petrol,Wagon,Mazda
9900,1796,Unleaded Petrol,Sedan,Mercedes-Benz
38950,2694,Unleaded Petrol,Van,Toyota
17913,3196,Diesel,Dual Cab Utility,Mazda
28900,1995,Diesel,Wagon,BMW
19950,2231,Diesel,Wagon,Holden
57990,2982,Diesel,Wagon,Toyota
47010,2488,Unleaded Petrol,Wagon,Mitsubishi
14000,1797,Unleaded Petrol,Hatchback,Hyundai
56990,2753,Diesel,Wagon,Toyota
48990,1968,Diesel,Wagon,Audi
9980,3565,Unleaded Petrol,Sedan,Holden
129950,2480,Premium Unleaded Petrol,Sportback,Audi
77990,1999,Diesel,Wagon,Jaguar
13990,1997,Unleaded Petrol,Wagon,Nissan
9995,1498,Unleaded Petrol,Hatchback,Ford
11990,2477,Diesel,Double Cab Utility,Mitsubishi
21850,2488,Unleaded Petrol,Hatchback,Mazda
25880,3604,Premium Unleaded Petrol,Wagon,Jeep
49990,2982,Diesel,Bus,Toyota
49888,1987,Unleaded Petrol,Wagon,Toyota
16711,3498,Premium Unleaded Petrol,Sedan,Nissan
24990,1999,Unleaded Petrol,Sedan,Hyundai
133888,3346,Diesel,Wagon,Toyota
13000,1496,Unleaded Petrol,Hatchback,Mazda
28950,3198,Diesel,Crew Cab Chassis,Ford
9999,1995,Unleaded Petrol,Sedan,BMW
47888,2753,Diesel,Dual Cab Utility,Toyota
15000,3984,Unleaded Petrol,Utility,Ford
62000,2487,Unleaded Petrol/Electric,Wagon,Toyota
91990,1968,Premium Unleaded Petrol,Wagon,Audi
52000,1998,Premium Unleaded Petrol,Wagon,Jaguar
9990,1798,Unleaded Petrol,Hatchback,Toyota
16690,1197,Premium Unleaded Petrol,Hatchback,Volkswagen
14800,1997,Diesel,Wagon,Ford
32750,2498,Unleaded Petrol,Wagon,Subaru
23990,1999,Unleaded Petrol,Wagon,Kia
79990,1999,Diesel,Wagon,Land Rover
10050,3954,Unleaded Petrol,Dual Cab Pick-up,Nissan
12996,2457,Premium Unleaded Petrol,Sedan,Subaru
67900,3456,Premium Unleaded Petrol,Wagon,Lexus
22000,2987,Diesel,Wagon,Jeep
16888,2477,Diesel,Double Cab Chassis,Mitsubishi
28880,2179,Diesel,Sedan,Citroen
9999,3565,Unleaded Petrol,Sedan,Holden
6800,1490,Unleaded Petrol,Hatchback,Suzuki
12888,1372,Unleaded Petrol,Hatchback,Suzuki
51495,4950,Premium Unleaded Petrol,Coupe,Ford
83990,3604,Unleaded Petrol,Hardtop,Jeep
10888,2199,Diesel,Wagon,Kia
81900,2987,Diesel,Dual Cab Utility,Mercedes-Benz
17890,2488,Diesel,Dual Cab Pick-up,Nissan
8999,2231,Diesel,Wagon,Holden
55000,1995,Premium Unleaded Petrol,Sedan,Alfa Romeo
18990,1995,Diesel,Wagon,BMW
10999,1390,Premium Unleaded Petrol,Hatchback,Volkswagen
48990,1984,Premium Unleaded Petrol,Wagon,Volkswagen
58990,1995,Diesel,Van,Ford
27888,1997,Unleaded Petrol,Wagon,Honda
38990,2298,Diesel,Dual Cab Utility,Nissan
22999,1997,Unleaded Petrol,Wagon,Nissan
31880,3565,Unleaded Petrol,Utility,Holden
25975,2999,Diesel,Crew Cab Chassis,Isuzu
8500,2354,Unleaded Petrol,Sedan,Honda
12990,2694,Unleaded Petrol,Dual Cab Pick-up,Toyota
36990,2776,Diesel,Crew Cab Pickup,Holden
102000,1950,Diesel,Wagon,Mercedes-Benz
19990,2987,Diesel,Wagon,Jeep
89888,2487,Premium Unleaded/Electric,Wagon,Toyota
7990,2261,Unleaded Petrol,Hatchback,Mazda
30888,2488,Unleaded Petrol,Wagon,Nissan
21350,1490,Unleaded Petrol,Wagon,Holden
21990,1984,Premium Unleaded Petrol,Hatchback,Skoda
29999,2694,Unleaded Petrol,Cab Chassis,Toyota
28674,1995,Diesel,Wagon,Hyundai
9990,2362,Unleaded Petrol,Wagon,Toyota
56999,2753,Diesel,Wagon,Toyota
59990,2755,Diesel,Wagon,Toyota
14900,2359,Unleaded Petrol,Wagon,Mitsubishi
43500,5967,Premium Unleaded Petrol,Sedan,Holden
18995,3984,Unleaded Petrol,Sedan,Ford
26900,1395,Premium Unleaded Petrol,Van,Volkswagen
17999,1999,Unleaded Petrol,Hatchback,Mazda
28500,5967,Premium Unleaded Petrol,Sportswagon,Holden
71990,4367,Diesel,Wagon,Land Rover
16800,2198,Diesel,Crew Cab Pickup,Ford
39990,2198,Diesel,Crew Cab Chassis,Ford
39990,2694,Unleaded Petrol,Cab Chassis,Toyota
32990,1798,Unleaded Petrol/Electric,Hatchback,Toyota
41000,2261,Premium Unleaded Petrol,Hatchback,Ford
20500,2987,Diesel,Wagon,Jeep
53546,1984,Premium Unleaded Petrol,Sedan,Skoda
28990,1984,Premium Unleaded Petrol,Sedan,Skoda
59950,2753,Diesel,Wagon,Toyota
5750,1498,Unleaded Petrol,Hatchback,Mazda
11990,2188,Diesel,Wagon,Hyundai
29990,2359,Unleaded Petrol,Sedan,Hyundai
33990,2498,Unleaded Petrol,Wagon,Subaru
48990,2776,Diesel,Wagon,Holden
37880,5665,Premium Unleaded Petrol,Coupe,Holden
19998,3984,Unleaded Petrol,Sedan,Ford
21000,1999,Unleaded Petrol,Wagon,Hyundai
79990,2143,Diesel,Wagon,Mercedes-Benz
25990,3498,Premium Unleaded Petrol,Wagon,Nissan
12990,2231,Diesel,Wagon,Holden
19000,2488,Unleaded Petrol,Wagon,Nissan
16990,2362,Unleaded Petrol,Wagon,Toyota
22200,1395,Premium Unleaded Petrol,Hatchback,Volkswagen
24750,2354,Unleaded Petrol,Wagon,Honda
42990,2498,Unleaded Petrol,Wagon,Subaru
44990,1991,Premium Unleaded Petrol,Hatchback,Mercedes-Benz
34200,2776,Diesel,Double Cab Utility,LDV
9990,2362,Unleaded Petrol,Wagon,Toyota
64990,1996,Diesel,Wagon,Ford
71999,2151,Diesel,Wagon,Kia
19830,2199,Diesel,Wagon,Kia
29850,1984,Premium Unleaded Petrol,Sedan,Audi
15980,3956,Unleaded Petrol,Dual Cab Pick-up,Toyota
36990,1395,Premium Unleaded Petrol,Wagon,Audi
13990,3498,Premium Unleaded Petrol,Sedan,Mercedes-Benz
61990,2755,Diesel,Wagon,Toyota
13999,3565,Unleaded Petrol,Cab Chassis,Holden
36990,2498,Unleaded Petrol,Wagon,Subaru
